code,name,count
ofarw,Closed stores Archives Workroom,9
swms3,Closed stores WMS 3,6
sobpl,Closed stores P.B. Pali,6
sobko,Closed stores P.B. Korean,6
sobgu,Closed stores P.B. Gujurati,6
sehuf,Closed stores EPB Hunt.G.O/S,6
sobbe,Closed stores P.B. Bengali,5
sobak,Closed stores P.B. Akkadian,5
sg#ax,Closed stores Med. pam O/S (RMR),5
sg#f2,Closed stores Med G. O/S 2,5
ofra1,Closed stores Staff Office 325,4
sgrax,Closed stores RAMC O/S,4
sobmo,Closed stores P.B. Mongolian,4
sobml,Closed stores P.B. Malay,4
sobge,Closed stores P.B. Georgian,4
sobco,Closed stores P.B. Coptic,4
sohob,Closed stores Orient. Hobson,4
ofns1,Closed stores Asian Collection Staff Area,4
swms6,Closed stores WMS 6,3
swms2,Closed stores WMS 2,3
sobth,Closed stores P.B. Thai,3
sobsi,Closed stores P.B. Singhalese,3
sobkn,Closed stores P.B. Kanarese,3
sobhg,Closed stores P.B. Hieroglyphic,3
sgmoh,Closed stores MOH reports (RMR),3
sgse2,Closed stores journals 2,3
ofexh,Closed stores Exhibitions Office,3
sgrcs,Closed stores RCSE journals,2
sobne,Closed stores P.B. Nepali,2
sobmr,Closed stores P.B. Marath,2
sobmd,Closed stores P.B. Malagasi,2
sobbu,Closed stores P.B. Burmese,2
sobas,Closed stores P.B. Assyrian,2
sg#er,Closed stores journals (RMR),2
somja,Closed stores Japanese mss,2
sg#hi,Closed stores Hist. pam (RMR),2
ofdp1,Closed stores Head of Library's Office,2
semsb,Closed stores EPB MSL B,2
ofrk1,Closed stores Digital Services,2
swmlo,Closed stores WMS MSL,1
sobuz,Closed stores P.B. Uzbek,1
sobui,Closed stores P.B. Uighur,1
sobtg,Closed stores P.B. Tigrinya,1
sobps,Closed stores P.B. Pashto,1
sobor,Closed stores P.B. Oriya,1
sobmi,Closed stores P.B. Misc. Langs.,1
sobmm,Closed stores P.B. Malayam,1
sobkl,Closed stores P.B. Kalmuck,1
sobhr,Closed stores P.B. Hieratic,1
sobbh,Closed stores P.B. Bhili,1
sobam,Closed stores P.B. Aramaic,1
sobah,Closed stores P.B. Amharic,1
ofmpl,Closed stores MPL Office,1
mfinc,Closed stores Inst.Neurol.Coll.,1
semsc,Closed stores EPB MSL C,1
sepbi,Closed stores EPB Biog p.Vol,1
sepaf,Closed stores EPB Amer.G.O/S,1
sgdis,Closed stores diss.,1
scmwa,Closed stores A&MSS Well.Arch.,1
