CanonicalId,OntologyType,SourceId,SourceSystem
gbum7y2b,Item,1890040,sierra-system-number
be99823c,Image,b28065037/FILE_0175_OBJECTS,mets-image
thhp9d2t,Image,b22372210/FILE_0045_OBJECTS,mets-image
egfcpdaq,Image,b30520745/FILE_0290_OBJECTS,mets-image
rxcva8ja,Image,b28747756/FILE_0325_OBJECTS,mets-image
a89ykwqx,Work,b29525354,sierra-system-number
fc2phq32,Image,b2102330x/FILE_0204_OBJECTS,mets-image
ecagdrgu,Image,b20410402/FILE_0498_OBJECTS,mets-image
mdnf5v98,Image,b28131496/FILE_0228_OBJECTS,mets-image
z3xhhqwe,Work,b2723053,sierra-system-number
n8se2cyu,Image,b29322509/FILE_0230_OBJECTS,mets-image
fgts3zq3,Image,b19502448/FILE_0153_OBJECTS,mets-image
m243zw3m,Image,b22384959/FILE_0089_OBJECTS,mets-image
ug7a9mhy,Work,b21456987,mets
dt9y2jwq,Image,b21052189/FILE_0061_OBJECTS,mets-image
d8g2e5gb,Image,b33284702/FILE_0011_OBJECTS,mets-image
hjzhrz7k,Image,b21707340/FILE_0031_OBJECTS,mets-image
bruf3rzd,Image,b28519656/FILE_0194_OBJECTS,mets-image
x5usense,Work,b32427670,sierra-system-number
xq5rndmu,Item,i12045792,sierra-system-number
krg5zggb,Image,b21079936/FILE_0191_OBJECTS,mets-image
yf3pcjbt,Image,b31361845/FILE_0564_OBJECTS,mets-image
ns4s2drd,Image,b22304551/FILE_0035_OBJECTS,mets-image
ftajrp27,Image,b2193227x/FILE_0198_OBJECTS,mets-image
mqswgds2,Image,b31697781/FILE_0199_OBJECTS,mets-image
by6kp2ba,Work,b1548462,sierra-system-number
h7szra2t,Work,1085317,sierra-system-number
a9dg6p5c,Image,b28520622/FILE_0227_OBJECTS,mets-image
rcmz4kr8,Work,b21491203,sierra-system-number
jpe35z4j,Image,b31481759/FILE_0028_OBJECTS,mets-image
ab2yzass,Image,b18347514/FILE_0067_OBJECTS,mets-image
x5sxw9qh,Image,b24963409/FILE_0281_OBJECTS,mets-image
gkdsgmag,Image,b21640774/FILE_0137_OBJECTS,mets-image
hhktyyrd,Work,b1992336,sierra-system-number
adca548b,Image,b21003567/FILE_0190_OBJECTS,mets-image
xhmzpb3j,Image,b30614454/FILE_0092_OBJECTS,mets-image
azr2ptv7,Image,b21463888/FILE_0101_OBJECTS,mets-image
mvtd3hut,Image,b28519218/FILE_0095_OBJECTS,mets-image
h2gw9ay5,Item,i12321096,sierra-system-number
ffhfkrk5,Image,b21510143/FILE_0087_OBJECTS,mets-image
dg4224wc,Image,b21218912/FILE_0141_OBJECTS,mets-image
aryhdz6g,Image,b24928033/FILE_0376_OBJECTS,mets-image
ckt99rtb,Image,b30537423/FILE_0060_OBJECTS,mets-image
snebx7jk,Image,b28740166/FILE_0083_OBJECTS,mets-image
yjmzhhw9,Work,1533868,sierra-system-number
xm8xte8v,Work,PPKIN/C/6,calm-ref-no
ct3ry3te,Image,b21271306/FILE_0158_OBJECTS,mets-image
u46v4vh6,Image,b21175937/FILE_0040_OBJECTS,mets-image
zsgw2xj5,Work,b16122884,sierra-system-number
g2synsff,Image,b1153333x/FILE_0017_OBJECTS,mets-image
fpeguw3j,Image,b21961517/FILE_0111_OBJECTS,mets-image
qan7cfpf,Image,b21354662/FILE_0118_OBJECTS,mets-image
wbhs4pw5,Image,b21712931/FILE_0038_OBJECTS,mets-image
hb5sbfme,Item,b28077118,sierra-system-number
hwv9ruue,Work,2459576,sierra-system-number
hqm7zaa2,Image,b30448724/FILE_0039_OBJECTS,mets-image
ny78h9vw,Item,i18910348,sierra-system-number
fu8dqcnp,Image,b2809704x/FILE_0117_OBJECTS,mets-image
r6pc3b8r,Work,b2338407,sierra-system-number
wg7v7pnk,Item,1748185,sierra-system-number
psw6hbv3,Work,3011234,sierra-system-number
pdq7js3q,Image,b28067186/FILE_0450_OBJECTS,mets-image
gvdjrpzm,Work,b18308454,sierra-system-number
tta397nb,Image,b21066966/FILE_0207_OBJECTS,mets-image
yhrrmyrh,Image,b22309202/FILE_0008_OBJECTS,mets-image
vm3xfqyg,Image,b28073605/FILE_0230_OBJECTS,mets-image
v72dumxw,Image,b29348055/FILE_0095_OBJECTS,mets-image
e24tpdkg,Image,b2883916x/FILE_0050_OBJECTS,mets-image
ehktfxmm,Work,1718496,sierra-system-number
tspahhmk,Image,b2203755x/FILE_0242_OBJECTS,mets-image
n2j8gwh5,Work,b10796538,sierra-system-number
g9qney6y,Image,b24882045/FILE_0417_OBJECTS,mets-image
k84wdp3n,Image,b29304131/FILE_0433_OBJECTS,mets-image
mu2qq8dn,Image,b22423679/FILE_0064_OBJECTS,mets-image
hjwhvntu,Image,b21944994/FILE_0030_OBJECTS,mets-image
wr9e95fw,Image,b29810735/FILE_0099_OBJECTS,mets-image
z2re6fqg,Image,b21115199/FILE_0063_OBJECTS,mets-image
w9gepajv,Concept,no2011157504,library-of-congress-names
bvgame32,Image,b28903092/FILE_0029_OBJECTS,mets-image
nnsss5xe,Image,b21058374/FILE_0572_OBJECTS,mets-image
w6qr9fqw,Image,b2495388x/FILE_0339_OBJECTS,mets-image
wbn3cswd,Image,b32774448/FILE_0024_OBJECTS,mets-image
qq2du5qe,Work,1313586,sierra-system-number
wn3wkup4,Image,b21496377/FILE_0126_OBJECTS,mets-image
k5stt33t,Image,b32757918/FILE_0012_OBJECTS,mets-image
deyx7hm5,Concept,"bradshaw, john, active 1717,",label-derived
ajmr2n63,Image,b30139764/FILE_0165_OBJECTS,mets-image
bv9qapxc,Image,b22300454/FILE_0063_OBJECTS,mets-image
u7zju7df,Image,b29785376/FILE_0029_OBJECTS,mets-image
nt6wpgvw,Work,1623254,sierra-system-number
gzfbbyq6,Image,b19285565/FILE_0050_OBJECTS,mets-image
mx8bhgas,Image,b21532229/FILE_0186_OBJECTS,mets-image
a5udwm5d,Image,b28057223/FILE_0184_OBJECTS,mets-image
gt8njgch,Work,b28154289,sierra-system-number
k78f5t8z,Image,b28102265/FILE_0010_OBJECTS,mets-image
wg7xhm3x,Image,b21006957/FILE_0064_OBJECTS,mets-image
g6dy4cpf,Subject,"[blake, francis]",label-derived
mh5w5cdx,Image,b30503711/FILE_0152_OBJECTS,mets-image
ctwf7dj3,Image,b28775181/FILE_0085_OBJECTS,mets-image
hx9khnvw,Concept,n2003145426,lc-names
e4nesz4z,Work,b21353220,sierra-system-number
txpkvk8g,Image,b20028829/FILE_0077_OBJECTS,mets-image
epp3rug8,Image,b29816476/FILE_0289_OBJECTS,mets-image
pesc3y5e,Image,b18444593/FILE_0069_OBJECTS,mets-image
zwg5228w,Image,b21710442/FILE_0039_OBJECTS,mets-image
vy8xk7g6,Work,1218513,sierra-system-number
a5qptmmm,Image,b33635146/FILE_0001_OBJECTS,mets-image
ryxdh37x,Image,b11057051/FILE_0419_OBJECTS,mets-image
ur8cwwg5,Image,b21224924/FILE_0687_OBJECTS,mets-image
zuank883,Work,b1431518x,sierra-system-number
an6fbxr6,Image,b30064478/FILE_0089_OBJECTS,mets-image
abqbpfke,Image,b21716651/FILE_0053_OBJECTS,mets-image
q98jg56e,Image,b2130533x/FILE_0390_OBJECTS,mets-image
crx424tu,Image,b28099758/FILE_0170_OBJECTS,mets-image
pqxwwbwe,Image,b2865030x/FILE_0174_OBJECTS,mets-image
t4w4ur37,Image,b18826143/FILE_0599_OBJECTS,mets-image
zgy4u8rn,Item,i19896591,sierra-system-number
t2j7ps9q,Image,b29281489/FILE_1949_OBJECTS,mets-image
cyngekxw,Image,V0044418EL,miro-image-number
pn5egvuh,Image,b24861807/FILE_0299_OBJECTS,mets-image
js4vcce6,Image,b29102091/FILE_0017_OBJECTS,mets-image
zf5utmj5,Work,8fb4003a-7eeb-46a1-bef1-866653cb7b07,calm-record-id
jhjzgbd2,Image,b22311245/FILE_0041_OBJECTS,mets-image
caa28s8u,Image,b19649009/FILE_0299_OBJECTS,mets-image
e72gtas2,Item,1914754,sierra-system-number
teyzvdap,Image,b2108175x/FILE_0472_OBJECTS,mets-image
cs5jvx89,Image,b19772609/FILE_0269_OBJECTS,mets-image
yn526c8e,Work,1872913,sierra-system-number
epvqff8j,Image,b33000116/FILE_0349_OBJECTS,mets-image
jdyh2j3v,Image,b18569948/FILE_0359_OBJECTS,mets-image
bvd9ftm3,Image,b21038156/FILE_0109_OBJECTS,mets-image
c69n3hra,Work,b1498558,sierra-system-number
rprgfz9e,Image,b21442290/FILE_0333_OBJECTS,mets-image
tagnchu3,Work,1273241,sierra-system-number
erz84y96,Image,b22346259/FILE_0008_OBJECTS,mets-image
uyxde7rb,Image,b11128288/FILE_0650_OBJECTS,mets-image
r6ekk7tv,Image,b29290843/FILE_0301_OBJECTS,mets-image
b2mpkaeu,Image,b18035772/FILE_0093_OBJECTS,mets-image
ckrfjshh,Image,b20410268/FILE_0212_OBJECTS,mets-image
f3spbrdw,Image,b21004663/FILE_0449_OBJECTS,mets-image
rskc8uyw,Concept,nb2001041163,library-of-congress-names
nbefth9k,Image,b1963299x/FILE_0372_OBJECTS,mets-image
a3vkf6tr,Concept,"fishes, physiology",label-derived
d3d2c77d,Image,b22488133/FILE_1340_OBJECTS,mets-image
ddmmnn6w,Image,b21981772/FILE_0696_OBJECTS,mets-image
j69s2a4r,Image,b28777840/FILE_0290_OBJECTS,mets-image
hk4cpczk,Image,b29117884/FILE_0007_OBJECTS,mets-image
q4qu9pbe,Work,PPGRU/74/2,calm-ref-no
tvtuthy7,Image,b30230044/FILE_0025_OBJECTS,mets-image
bqahvwm7,Image,b3185042x/FILE_0850_OBJECTS,mets-image
xf2mnecf,Image,b24852120/FILE_0647_OBJECTS,mets-image
pwwf83km,Image,b19516848/FILE_0215_OBJECTS,mets-image
jmk3vvax,Image,b28037972/FILE_0283_OBJECTS,mets-image
y98hs7mr,Image,b21225801/FILE_0053_OBJECTS,mets-image
tvwchphp,Image,b21122623/FILE_0009_OBJECTS,mets-image
y3z8my9m,Image,b30139557/FILE_0016_OBJECTS,mets-image
uzzbpwyd,Image,b30333866/FILE_0046_OBJECTS,mets-image
ry2n6brb,Work,2639541,sierra-system-number
kymcad4a,Image,b3164076x/FILE_0516_OBJECTS,mets-image
e63w3vru,Image,b30548950/FILE_0181_OBJECTS,mets-image
pune6qen,Image,b29976637/FILE_0016_OBJECTS,mets-image
szhrheep,Work,b28302783,sierra-system-number
h78nue2d,Item,i19981752,sierra-system-number
g5es2je3,Image,b22420538/FILE_0047_OBJECTS,mets-image
htssze2c,Image,b28118170/FILE_0131_OBJECTS,mets-image
hxrapz9c,Image,b32182673/FILE_0153_OBJECTS,mets-image
rax39kke,Work,b14729416,sierra-system-number
jbssc9vh,Image,b21054046/FILE_0422_OBJECTS,mets-image
kpy5n42w,Image,b29441493/FILE_0163_OBJECTS,mets-image
ra5prsdv,Image,b20403604/FILE_0459_OBJECTS,mets-image
psj2kejs,Image,b31345840/FILE_0163_OBJECTS,mets-image
j7h5ya6q,Image,b21034862/FILE_0124_OBJECTS,mets-image
xphf54x2,Image,b21074963/FILE_0183_OBJECTS,mets-image
qfqtdkyq,Image,b30697104/FILE_0061_OBJECTS,mets-image
pk6z8b8n,Image,b30418562/FILE_0824_OBJECTS,mets-image
uzfyrg9a,Image,b30512360/FILE_0031_OBJECTS,mets-image
hc5xqy72,Image,b21039896/FILE_0323_OBJECTS,mets-image
y7w6nr7y,Image,b21535759/FILE_0174_OBJECTS,mets-image
pkfpwxhb,Image,b28118637/FILE_0773_OBJECTS,mets-image
qehs7pbz,Image,b3135094x/FILE_0372_OBJECTS,mets-image
xca5qg9y,Image,b18310357/FILE_0034_OBJECTS,mets-image
m8tt3r6d,Image,b20663705/FILE_0281_OBJECTS,mets-image
mqcftqjb,Image,b18022182/FILE_0143_OBJECTS,mets-image
ttj7bd4s,Image,b28842078/FILE_0018_OBJECTS,mets-image
udxwrydq,Image,b30764336/FILE_0002_OBJECTS,mets-image
esajvwyp,Image,b30528987/FILE_0991_OBJECTS,mets-image
m9hxbstc,Image,b31893739/FILE_0007_OBJECTS,mets-image
qkvdydb5,Image,b24867652/FILE_0541_OBJECTS,mets-image
wf44z925,Work,2418862,sierra-system-number
mnpwubmt,Image,b21933765/FILE_0689_OBJECTS,mets-image
ttqdfwaa,Image,b18479650/FILE_0134_OBJECTS,mets-image
cmt6smbw,Image,b28654845/FILE_0029_OBJECTS,mets-image
wttyzeqn,Image,b28705312/FILE_0649_OBJECTS,mets-image
g77quwry,Concept,harmony (aesthetics),label-derived
hrw54s8n,Image,b3170136x/FILE_0008_OBJECTS,mets-image
ppxyx8re,Image,b28081134/FILE_0042_OBJECTS,mets-image
xg5b8azf,Image,b3309567x/FILE_0305_OBJECTS,mets-image
gshdh56n,Image,b18765944/FILE_0188_OBJECTS,mets-image
phy7mtk8,Image,b29342430/FILE_0225_OBJECTS,mets-image
x9pagcqn,Image,b28036530/FILE_0456_OBJECTS,mets-image
vtda2txr,Image,b29347178/FILE_0401_OBJECTS,mets-image
kf962cgh,Image,b29308380/FILE_0036_OBJECTS,mets-image
vzewy33b,Item,i13633971,sierra-system-number
pcg4m83z,Image,b31411538/FILE_0014_OBJECTS,mets-image
r27h4y9w,Image,b32758625/FILE_0765_OBJECTS,mets-image
m8sv5e5z,Image,b18773722/FILE_0109_OBJECTS,mets-image
fdt4cbjv,Image,b21133281/FILE_0300_OBJECTS,mets-image
vggcg8yq,Image,b29127610/FILE_0001_OBJECTS,mets-image
fetmxd4u,Image,b21068768/FILE_0019_OBJECTS,mets-image
mfj9tqwv,Image,b1941528x/FILE_0026_OBJECTS,mets-image
ptb3hng3,Image,b21066656/FILE_0253_OBJECTS,mets-image
sfkd8wjr,Image,b19845881/FILE_0062_OBJECTS,mets-image
zdnfnysc,Image,b21995941/FILE_0096_OBJECTS,mets-image
b6zetb3c,Image,b28709548/FILE_0163_OBJECTS,mets-image
dsezdc7p,Work,b2928372,sierra-system-number
etkng4ya,Image,b30579867/FILE_0018_OBJECTS,mets-image
vteb35gd,Work,b26900178,sierra-system-number
jdgj2eee,Image,b30494072/FILE_0126_OBJECTS,mets-image
fvgctx6g,Image,b21704478/FILE_0060_OBJECTS,mets-image
p3an6ms5,Work,ebs1513504e,ebsco-alt-lookup
jkajxdub,Image,b3288705x/FILE_0068_OBJECTS,mets-image
r5355emp,Item,i21231680,sierra-system-number
bm6wbdqb,Image,b28092910/FILE_0070_OBJECTS,mets-image
xzs2vtzg,Image,b28112611/FILE_0081_OBJECTS,mets-image
kh49hhuw,Image,b28063569/FILE_0016_OBJECTS,mets-image
h27utfr4,Image,b2112310x/FILE_0322_OBJECTS,mets-image
sr4xn5w5,Image,b29930546/FILE_0267_OBJECTS,mets-image
mqcmkjse,Work,aebe25be-1987-4722-ac95-db13cffbe6a6,calm-record-id
stbch6x9,Image,b24976751/FILE_0405_OBJECTS,mets-image
sa4k7jer,Work,b1418732,sierra-system-number
pu6sb7xc,Image,b22286494/FILE_0142_OBJECTS,mets-image
azc4r5g3,Image,b29349448/FILE_0131_OBJECTS,mets-image
cbt956cf,Image,b2149650x/FILE_0091_OBJECTS,mets-image
zqe3q49w,Work,b33255271,sierra-system-number
aqpdsmhw,Image,b28995107/FILE_0368_OBJECTS,mets-image
qf39fxyj,Image,b21161781/FILE_0407_OBJECTS,mets-image
ptwn3ua3,Image,b29828326/FILE_0317_OBJECTS,mets-image
pwkrvfdq,Image,b28098997/FILE_0080_OBJECTS,mets-image
dcx4qn6m,Work,b2909462,sierra-system-number
asjmzh4g,Image,b30764282/FILE_0019_OBJECTS,mets-image
azx9ygmj,Work,b15698877,sierra-system-number
nnme2mjd,Image,b29727613/FILE_0007_OBJECTS,mets-image
eg5ddumm,Image,b21964257/FILE_0462_OBJECTS,mets-image
ahy5eh8j,Image,b19883080/FILE_0027_OBJECTS,mets-image
dkr43aue,Image,b21027808/FILE_0474_OBJECTS,mets-image
quhnurj2,Image,b31356473/FILE_0174_OBJECTS,mets-image
hqfy8zuc,Image,b30592483/FILE_0062_OBJECTS,mets-image
awx5ef3z,Image,b19872586/FILE_0049_OBJECTS,mets-image
zmun4z68,Image,b24853896/FILE_0735_OBJECTS,mets-image
xquksuyb,Image,b22305208/FILE_0034_OBJECTS,mets-image
edrvnnyb,Image,b28085851/FILE_0370_OBJECTS,mets-image
afbskmdj,Item,1827113,sierra-system-number
rn7ck4a4,Item,i10261990,sierra-system-number
z6ywzzme,Image,b30540422/FILE_0137_OBJECTS,mets-image
t6bghdx5,Image,b21455600/FILE_0006_OBJECTS,mets-image
a47sx33x,Image,b18171151/FILE_0385_OBJECTS,mets-image
kh3dxe3w,Image,b28044241/FILE_0257_OBJECTS,mets-image
qwh768xd,Image,b24879460/FILE_0436_OBJECTS,mets-image
jyqhs4r8,Image,b2121802x/FILE_0298_OBJECTS,mets-image
axdb2bfw,Image,b28073927/FILE_0006_OBJECTS,mets-image
bbxzuzhh,Image,b21964233/FILE_0339_OBJECTS,mets-image
faujmjp4,Image,b32171407/FILE_0436_OBJECTS,mets-image
tmwwjf9k,Concept,n91101869,library-of-congress-names
qpyt4w3m,Image,b21224870/FILE_0828_OBJECTS,mets-image
zp9a9ujw,Image,b28123165/FILE_0044_OBJECTS,mets-image
rd99evbq,Subject,nr2007004149,lc-names
zk26mvmy,Work,1148573,sierra-system-number
r2jtvsvc,Image,b21001182/FILE_0089_OBJECTS,mets-image
qp2qjkqf,Image,b21222101/FILE_0220_OBJECTS,mets-image
xy5gh2zd,Image,b28041586/FILE_0251_OBJECTS,mets-image
jzhd6rb7,Image,b21074008/FILE_0251_OBJECTS,mets-image
mjyw2d7m,Image,b32873402/FILE_0147_OBJECTS,mets-image
xq3c3uxz,Image,b28038605/FILE_0057_OBJECTS,mets-image
dzct487e,Image,b19976227/FILE_0009_OBJECTS,mets-image
b4qkyyft,Image,b21698132/FILE_0116_OBJECTS,mets-image
cfsfqmr6,Image,b29326084/FILE_0176_OBJECTS,mets-image
rcewbtud,Image,b30118323/FILE_0062_OBJECTS,mets-image
p765a2vj,Image,b33479355/FILE_0502_OBJECTS,mets-image
d2v4tbfb,Image,b24860347/FILE_0150_OBJECTS,mets-image
auuybsda,Image,b22386920/FILE_0024_OBJECTS,mets-image
c6d6mce7,Image,b28852874/FILE_0007_OBJECTS,mets-image
qdqtbbr7,Image,b22294028/FILE_0017_OBJECTS,mets-image
y7q7ycsh,Image,b31350975/FILE_0540_OBJECTS,mets-image
ztqaq8t6,Work,b29313363,mets
e9pd5h45,Work,b12416629,sierra-system-number
bjfy77zg,Image,b21359945/FILE_0057_OBJECTS,mets-image
js7n5js5,Image,b21892283/FILE_0354_OBJECTS,mets-image
sntguztc,Image,b2122822x/FILE_0789_OBJECTS,mets-image
zq8kda54,Image,b2971915x/FILE_0014_OBJECTS,mets-image
cvyqkpug,Image,b21039045/FILE_0174_OBJECTS,mets-image
gmhu5uns,Work,1519172,sierra-system-number
ws3ahqq3,Image,b21729864/FILE_0101_OBJECTS,mets-image
p77cv9vk,Image,b22019042/FILE_0205_OBJECTS,mets-image
b4jeyna6,Image,b19839108/FILE_0028_OBJECTS,mets-image
pyruxedn,Image,b21058295/FILE_0745_OBJECTS,mets-image
pbwp47xg,Image,b21006076/FILE_0860_OBJECTS,mets-image
wnpgrnt6,Item,i1386392,sierra-system-number
wxhr5mm3,Image,b32172734/FILE_0311_OBJECTS,mets-image
jm57gqme,Image,b33091687/FILE_0395_OBJECTS,mets-image
wrcuv3mk,Image,b21223427/FILE_0160_OBJECTS,mets-image
jyk9xteb,Image,b30528987/FILE_0808_OBJECTS,mets-image
r7gzaf6w,Item,i1817750,sierra-system-number
ua6rj73u,Image,b21084610/FILE_0297_OBJECTS,mets-image
n7qtjdfm,Image,b29326795/FILE_0294_OBJECTS,mets-image
yu5m5ecn,Image,b2876769x/FILE_0228_OBJECTS,mets-image
atacmn4p,Image,b31806454/FILE_0008_OBJECTS,mets-image
tkb4kuvc,Image,b28514269/FILE_0311_OBJECTS,mets-image
qehp7xnw,Image,b28113081/FILE_0005_OBJECTS,mets-image
t6u9abaq,Image,b20611390/FILE_0228_OBJECTS,mets-image
rc3bt8m4,Image,b30410733/FILE_0629_OBJECTS,mets-image
uhej33yy,Image,b28132087/FILE_0046_OBJECTS,mets-image
mf95dyvp,Image,b2877243x/FILE_0020_OBJECTS,mets-image
h6dmc46q,Image,b21033043/FILE_0240_OBJECTS,mets-image
m9ht6jje,Image,b33093404/FILE_0408_OBJECTS,mets-image
ra6f6ndk,Image,b21040205/FILE_0293_OBJECTS,mets-image
kybqcqkg,Image,b29175896/FILE_0040_OBJECTS,mets-image
e5d9uc35,Image,b28065463/FILE_0299_OBJECTS,mets-image
b4epatas,Image,b21173175/FILE_0181_OBJECTS,mets-image
z2zkmta8,Image,b28763312/FILE_0176_OBJECTS,mets-image
zftxpa98,Image,b24906414/FILE_0413_OBJECTS,mets-image
fdek56p6,Work,2355389,sierra-system-number
bzxczhsr,Image,b22037676/FILE_0210_OBJECTS,mets-image
ufmejfqt,Image,b21216939/FILE_0210_OBJECTS,mets-image
bc2ym7ph,Image,b29303308/FILE_0027_OBJECTS,mets-image
vrhdw4x7,Work,b25686227,sierra-system-number
bx36hfse,Work,b1010379,sierra-system-number
fps2rzer,Image,b21915805/FILE_0650_OBJECTS,mets-image
z2t3j9km,Work,2980169,sierra-system-number
r6cgwxma,Image,b28127663/FILE_0450_OBJECTS,mets-image
b8hfwbuj,Image,b21286826/FILE_0087_OBJECTS,mets-image
u268aqh8,Image,b22656601/FILE_0698_OBJECTS,mets-image
sd9fbsht,Image,b21710430/FILE_0479_OBJECTS,mets-image
uqwhkdhf,Subject,congregational churches - missions,label-derived
bd3zhx4j,Work,b1024527,sierra-system-number
pvzcyx9c,Work,2401267,sierra-system-number
tw35v6nw,Image,b21065536/FILE_0322_OBJECTS,mets-image
vbnmy3n9,Image,b28705762/FILE_0045_OBJECTS,mets-image
wjxyrkgm,Item,L0013901,miro-image-number
pg7zq2az,Image,b20192599/FILE_0012_OBJECTS,mets-image
tzvf4f2w,Image,b28758936/FILE_0098_OBJECTS,mets-image
u8rwkq4h,Image,b21893755/FILE_0299_OBJECTS,mets-image
frc8e9at,Image,b30528215/FILE_1107_OBJECTS,mets-image
f7h5fc7z,Image,b21132835/FILE_0402_OBJECTS,mets-image
xe6rtwkd,Image,b22285416/FILE_0006_OBJECTS,mets-image
fwmnx7zm,Image,b24855534/FILE_0497_OBJECTS,mets-image
f9kkr2au,Work,b29205438,mets
r2vmp3kg,Work,b2163452x,mets
zt4wvx7q,Work,b29787245,mets
gjnmkwvr,Image,b30375605/FILE_0116_OBJECTS,mets-image
w748km4j,Image,b21208281/FILE_0047_OBJECTS,mets-image
fq3vm7ta,Image,b3186806x/FILE_0005_OBJECTS,mets-image
me32emfx,Image,b21045574/FILE_0843_OBJECTS,mets-image
pn7c29fc,Image,b28126646/FILE_0284_OBJECTS,mets-image
xan8q86z,Image,b29333994/FILE_0039_OBJECTS,mets-image
q3cbfhbq,Image,b21919574/FILE_0421_OBJECTS,mets-image
nh8v57x9,Image,b32996263/FILE_0108_OBJECTS,mets-image
abwznj5y,Image,b29012648/FILE_0076_OBJECTS,mets-image
ka2fqxzh,Image,b29937991/FILE_0042_OBJECTS,mets-image
fmmdyteg,Image,b19956691/FILE_0068_OBJECTS,mets-image
x43jvypt,Image,b21128583/FILE_0001_OBJECTS,mets-image
n5kwah48,Image,b22039831/FILE_0105_OBJECTS,mets-image
w2g7q79s,Image,b30229121/FILE_0097_OBJECTS,mets-image
gue3cdur,Image,b28063041/FILE_0827_OBJECTS,mets-image
cggqbc23,Image,b21075050/FILE_0214_OBJECTS,mets-image
xhy542db,Image,b28073095/FILE_0052_OBJECTS,mets-image
wrtrc299,Item,b23921389,sierra-system-number
qxa75kae,Image,b28107664/FILE_0446_OBJECTS,mets-image
gm7f2psr,Image,b24875958/FILE_0200_OBJECTS,mets-image
jxkf7mhp,Work,1938912,sierra-system-number
js2vzn4u,Image,b21115990/FILE_0004_OBJECTS,mets-image
w8j8nnw5,Work,b1668687,sierra-system-number
mf3dup62,Image,b28782021/FILE_0008_OBJECTS,mets-image
bmef5kyv,Image,b30184575/FILE_0021_OBJECTS,mets-image
cp6fjsrq,Image,b21305122/FILE_0107_OBJECTS,mets-image
myyuh5yy,Image,b28998522/FILE_0111_OBJECTS,mets-image
z84ub3ku,Image,b21164307/FILE_0188_OBJECTS,mets-image
ahrcjpy3,Image,b21936493/FILE_0101_OBJECTS,mets-image
c6hybk75,Image,b19852472/FILE_0001_OBJECTS,mets-image
gttnhz6d,Work,1711641,sierra-system-number
uhk9twgu,Image,L0000815,miro-image-number
ys6c33bn,Image,b29244948/FILE_0496_OBJECTS,mets-image
f4773cxm,Image,b22655815/FILE_0149_OBJECTS,mets-image
n8588u5j,Image,b21700011/FILE_0204_OBJECTS,mets-image
n4u9a4pq,Work,b2302358,sierra-system-number
yx8v3dxv,Concept,n50000641,lc-names
jksj5bfn,Image,b18488213/FILE_0061_OBJECTS,mets-image
hcyea3rg,Subject,admonition - early works to 1800,label-derived
gddvpqne,Image,b29523990/FILE_0006_OBJECTS,mets-image
cpmk6ybt,Image,b30292529/FILE_0047_OBJECTS,mets-image
pv6jvu9w,Image,b2149874x/FILE_0175_OBJECTS,mets-image
cfturgqm,Work,822145e9-b552-487f-a74a-aae2a7c9eddc,calm-record-id
pr6z2cq6,Image,b33003099/FILE_0100_OBJECTS,mets-image
jueh49hj,Image,b19823885/FILE_0116_OBJECTS,mets-image
uray35ww,Image,b2136042x/FILE_0388_OBJECTS,mets-image
kjwngv6x,Image,b21713157/FILE_0178_OBJECTS,mets-image
d8rc8v2r,Image,b30588601/FILE_0013_OBJECTS,mets-image
gm4eeytt,Image,b2439189x/FILE_0086_OBJECTS,mets-image
rfh33te4,Image,b20405182/FILE_0196_OBJECTS,mets-image
kp39zsw5,Image,b24850068/FILE_0587_OBJECTS,mets-image
f25wtgfq,Image,b2151186x/FILE_0306_OBJECTS,mets-image
nc8yyhjs,Image,b29255466/FILE_0011_OBJECTS,mets-image
jk4fjs2n,Image,b19874212/FILE_0002_OBJECTS,mets-image
j9kpgc6q,Image,b29815010/FILE_0346_OBJECTS,mets-image
va8968cw,Item,i1874318,sierra-system-number
ymm8uf8d,Image,b22363129/FILE_0001_OBJECTS,mets-image
qfh48ree,Image,b22025790/FILE_0193_OBJECTS,mets-image
uestu34b,Image,b31361729/FILE_0620_OBJECTS,mets-image
kmk58h4n,Image,b21710284/FILE_0020_OBJECTS,mets-image
qx3ykfsy,Image,b33097884/FILE_0431_OBJECTS,mets-image
z6yr9fs5,Item,i1312989,sierra-system-number
bsvkrsxg,Image,b21012404/FILE_0334_OBJECTS,mets-image
bxf9teem,Item,i1816340,sierra-system-number
ydxgxcdm,Image,b21983975/FILE_0054_OBJECTS,mets-image
h3hs4cnu,Image,b32998260/FILE_0053_OBJECTS,mets-image
t9d98yuh,Image,b24938257/FILE_0366_OBJECTS,mets-image
n52nf424,Image,b21034096/FILE_0085_OBJECTS,mets-image
be4t7j9y,Image,b30138231/FILE_0001_OBJECTS,mets-image
grrryetu,Image,b21079997/FILE_0228_OBJECTS,mets-image
znqq3gan,Image,b33280812/FILE_0102_OBJECTS,mets-image
n9c3knkq,Work,L0045118,miro-image-number
dtwjcycv,Image,b21925525/FILE_0331_OBJECTS,mets-image
amateyxq,Image,b20398281/FILE_0632_OBJECTS,mets-image
nw2wpguh,Work,ebs1499332e,ebsco-alt-lookup
m93e2jn6,Image,b30548263/FILE_0012_OBJECTS,mets-image
esn3y72r,Image,b21900413/FILE_0293_OBJECTS,mets-image
ecy5dhp9,Image,b22036441/FILE_0261_OBJECTS,mets-image
