CanonicalId,OntologyType,SourceId,SourceSystem
azj75k94,Image,b21528524/FILE_0980_OBJECTS,mets-image
k2qyh7gg,Image,b22292408/FILE_0181_OBJECTS,mets-image
cespdktj,Work,2006464,sierra-system-number
b8caeevu,Image,b33285020/FILE_0017_OBJECTS,mets-image
y6fuhe5b,Image,b30505185/FILE_0160_OBJECTS,mets-image
pzx9xb8t,Work,b16764079,sierra-system-number
uuwq7snh,Image,b19971308/FILE_0181_OBJECTS,mets-image
cnskqw3w,Image,b33291445/FILE_0087_OBJECTS,mets-image
qaepvbqh,Image,b29919009/FILE_0003_OBJECTS,mets-image
a9mj9fh4,Image,b21007147/FILE_0111_OBJECTS,mets-image
pwk36u9u,Image,b31361468/FILE_0305_OBJECTS,mets-image
abazzpgn,Image,b21999417/FILE_0054_OBJECTS,mets-image
vcvfsge5,Work,1688519,sierra-system-number
mg557yv2,Item,b23401291,sierra-system-number
as6yweyg,Work,b1894981,sierra-system-number
vqmfajqb,Image,b21214268/FILE_0457_OBJECTS,mets-image
t4ushzcb,Image,b28741274/FILE_0277_OBJECTS,mets-image
w5mp23c5,Work,ebs13521334e,ebsco-alt-lookup
h84hhxmw,Item,1224200,sierra-system-number
gejqbqyu,Image,b29149150/FILE_0044_OBJECTS,mets-image
xkmqppw9,Image,b30500606/FILE_0739_OBJECTS,mets-image
dn77dvmm,Image,b1802080x/FILE_0247_OBJECTS,mets-image
xsbn9n3t,Work,b1494329,sierra-system-number
ku2cgdaf,Image,b29303138/FILE_0385_OBJECTS,mets-image
bsnj9qdx,Work,b24539430,sierra-system-number
aqc77t2v,Work,b33363250,sierra-system-number
jfx8thah,Image,b18384572/FILE_0070_OBJECTS,mets-image
x2tu38es,Image,b19774631/FILE_0018_OBJECTS,mets-image
wez5estf,Work,b29273183,mets
mpd3jnkp,Image,b19956344/FILE_0036_OBJECTS,mets-image
kzvbg5ky,Image,b24857968/FILE_0263_OBJECTS,mets-image
cm7tumnf,Work,b32760577,sierra-system-number
ck9mad76,Image,b18469504/FILE_0045_OBJECTS,mets-image
zewz8fzq,Image,b32993158/FILE_0025_OBJECTS,mets-image
ajs23xde,Image,b24873214/FILE_0431_OBJECTS,mets-image
bkwwjrcg,Image,b22302001/FILE_0069_OBJECTS,mets-image
rcudqnvg,Item,1214148,sierra-system-number
j8jpmbss,Image,b21074082/FILE_0086_OBJECTS,mets-image
jy8unzcx,Image,b18826519/FILE_0080_OBJECTS,mets-image
wvcsnyc9,Image,b30321992/FILE_0259_OBJECTS,mets-image
pf93uk2y,Image,b21782763/FILE_0065_OBJECTS,mets-image
